id,series,icon,url,zh_title,zh_subtitle,zh_intro,en_title,en_subtitle,en_intro,ja_title,ja_subtitle,ja_intro,status,notes
product-library,build,product-library,https://realtime.feishu.cn/docx/FFcedfbkNoNA3OxeD2IcdRWbnLf,对话式 AI 创新产品库,发现全球最值得关注的 Conversational AI 产品,收录 Voice Agent、Physical AI、AI Hardware 等创新产品与案例，帮助开发者了解下一代人机交互正在如何落地，激发产品灵感。,Conversational AI Product Library,Top Conversational AI Products,"A curated collection of Voice Agent, Physical AI, AI Hardware, and emerging product cases to help developers understand how next-generation human-computer interaction is becoming real.",対話型AIプロダクトライブラリ,注目すべき Conversational AI プロダクトを発見,Voice Agent、Physical AI、AI Hardware などの先進プロダクトと事例を収録。次世代の人とコンピューターの関わりがどのように実装されているかを知り、プロダクトの発想を広げます。,,
tool-library,build,tool-library,https://realtime.feishu.cn/docx/FFcedfbkNoNA3OxeD2IcdRWbnLf,对话式 AI 技术工具库,构建 Voice Agent 的前沿模型与工具推荐,汇集 TTS、STT、端到端语音、Agent Framework、API 与开发工具等 SOTA 技术方案，帮助你为自己的产品选择合适技术栈。,Conversational AI Tool Library,Voice Agent Models & Tools,"A curated library of SOTA TTS, STT, realtime voice models, agent frameworks, APIs, and developer tools to help you choose the right stack for your product.",対話型AIツールライブラリ,Voice Agent を構築する最新モデルとツール,TTS、STT、リアルタイム音声モデル、Agent Framework、API、開発ツールなどの技術選択肢を整理。自分のプロダクトに合う技術スタックを選ぶための手がかりを提供します。,,
curious-handbook,build,curious-handbook,https://www.rtecommunity.dev/conversational-ai-for-the-curious/,对话式 AI 好奇者手册,开始构建对话式 AI 的第一本指南,面向刚入门的开发者，从基础概念、典型场景到第一个 Voice Agent Demo，帮助你快速建立对话式 AI 的产品和技术认知。,Conversational AI Starter Guide,Start Building Conversational AI,"A beginner-friendly guide covering core concepts, common use cases, and your first Voice Agent demo, helping you build a practical understanding of conversational AI.",対話型AIビギナーズガイド,対話型AIを作り始めるための最初の一冊,入門者向けに、基本概念、代表的なユースケース、最初の Voice Agent Demo までを整理。対話型AIのプロダクトと技術をすばやく理解できます。,,
voice-agent-notes,build,voice-agent-notes,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=Mzg3NjgwMjUzOQ==&action=getalbum&album_id=3750223865243058180,Voice Agent 学习笔记,拆解前沿模型与产品背后的创造者思考,持续整理 Voice Agent 领域的新模型、新产品、论文与访谈，理解一线创造者如何思考场景、打磨体验，并构建下一代语音智能体。,Voice Agent Notes,How Voice AI Builders Think,"Ongoing notes on new models, products, papers, and interviews in Voice AI, unpacking how leading builders think about scenarios, user experience, and next-generation voice agents.",Voice Agent 学習ノート,先端モデルとプロダクトの作り手の思考を読む,Voice Agent 領域の新しいモデル、プロダクト、論文、インタビューを継続的に整理。作り手がシナリオや体験をどう磨き、次世代の音声エージェントを構築しているかを読み解きます。,,
physical-ai-notes,build,physical-ai-notes,https://mp.weixin.qq.com/mp/appmsgalbum?__biz=Mzg3NjgwMjUzOQ==&action=getalbum&album_id=4481188326909313031,Physical AI 学习笔记,当对话式 AI 进入现实世界,聚焦 AI 硬件、机器人、可穿戴、端侧智能与多模态交互，观察团队如何把语音、视觉、传感器和硬件结合成可用的 Physical AI 产品。,Physical AI Notes,AI Meets the Physical World,"Notes on AI hardware, robotics, wearables, edge intelligence, and multimodal interaction, following how teams combine voice, vision, sensors, and hardware into usable Physical AI products.",Physical AI 学習ノート,対話型AIが現実世界へ入るとき,AI ハードウェア、ロボット、ウェアラブル、エッジAI、マルチモーダル体験に注目。音声、視覚、センサー、ハードウェアを組み合わせた Physical AI の実装を追います。,,
agent-recipe-library,build,agent-recipe-library,https://github.com/AgoraIO-Conversational-AI/,Agent Recipe Library,可直接复用的 Voice Agent 代码配方,提供视觉、RAG、记忆、工具调用、MCP、多模型切换、打断处理等典型 Recipes，帮助你从示例代码快速改出自己的实时对话 Agent。,Agent Recipe Library,Reusable Voice Agent Recipes,"Ready-to-use recipes for vision, RAG, memory, tool calling, MCP, model switching, interruptions, and more, helping you turn example code into your own realtime conversational agent.",Agent Recipe Library,再利用できる Voice Agent コードレシピ,視覚、RAG、記憶、ツール呼び出し、MCP、モデル切替、割り込み処理などの典型レシピを提供。サンプルコードから自分のリアルタイム対話 Agent を素早く作れます。,,
agent-skill-library,build,agent-skill-library,https://github.com/AgoraIO/skills,Agora Skills,用 AI Coding Assistant 快速搭建实时对话应用,Agora 官方知识包，帮助 AI Coding Assistant 选对产品、接入凭证并跑通第一个 Demo，适合快速搭建 Voice Agent、AI Companion、AI Tutor、AI 客服与 Physical AI 应用。,Agora Skills,Build Faster with AI Assistants,"An official Agora knowledge pack that helps AI coding assistants choose the right product, wire up credentials, and run the first demo for voice agents, companions, tutors, support bots, and Physical AI apps.",Agora Skills,AI Coding Assistant でリアルタイム対話アプリを素早く構築,Agora 公式の知識パック。AI Coding Assistant が製品選定、認証情報の接続、最初の Demo 実行までを支援し、Voice Agent、AI Companion、AI Tutor、AI サポート、Physical AI アプリの構築に役立ちます。,,
agora-agents,build,agora-agents,https://docs.agora.io/en/build-with-ai,Agora Agents,快速构建实时对话 Agent 的开发平台,基于 Agora 实时互动基础设施，提供构建、部署和管理 Voice Agent 与多模态 Agent 的完整开发体验。,Agora Agents,Real-Time Agent Platform,"Built on Agora's real-time engagement infrastructure, Agora Agents provides a complete experience for building, deploying, and managing Voice Agents and multimodal Agents.",Agora Agents,リアルタイム対話 Agent の開発プラットフォーム,Agora のリアルタイムインタラクション基盤をもとに、Voice Agent とマルチモーダル Agent の構築、デプロイ、管理までを支える開発体験を提供します。,,
rte-meetup,build,rte-meetup,https://www.rtecommunity.dev/events,RTE Meetup,最关心实时 AI 的一群人都来了,RTE 社区旗舰线下活动，通过主题分享、圆桌讨论与 Lightning Demo，连接开发者、创业者与研究者，共同探索实时互动与对话式 AI 的未来。,RTE Meetup,Real-Time AI Builders Gather,"RTE Community's flagship offline event connects developers, founders, and researchers through talks, panels, and Lightning Demos to explore real-time engagement and Conversational AI.",RTE Meetup,リアルタイムAIに関心を持つ人たちが集まる場,RTE コミュニティの代表的なオフラインイベント。トーク、パネル、Lightning Demo を通じて、開発者、起業家、研究者をつなぎ、リアルタイム体験と対話型AIの未来を探ります。,,
real-time-ai-cafe,build,real-time-ai-cafe,http://weixin.qq.com/r/mp/PRyTi8nEmJTnrY3o90kv,Real-Time AI Cafe,咖啡一杯，Token 无限,一个让开发者聚在一起实时 coding、实时 debug、实时互动的咖啡馆快闪计划。带上项目、硬件或好奇心，和别人一起 build 出新的可能性。,Real-Time AI Cafe,"Coffee, Tokens, Real-Time Build","A pop-up cafe where developers gather to code, debug, and build in real time. Bring your project, hardware, or curiosity, and discover what becomes possible when builders work side by side.",Real-Time AI Cafe,一杯のコーヒーと無限の Token,開発者が集まり、リアルタイムで coding、debug、交流するカフェ型ポップアップ。プロジェクト、ハードウェア、好奇心を持ち寄り、新しい可能性を一緒に build します。,,
